latitude,longitude
126.9695817,37.5798266
126.9695976,37.579891
126.969605,37.5799419
126.9704608,37.579043
126.9704787,37.5790722
126.9705394,37.5791246
126.9705419,37.5792393
126.970661,37.5792406
126.9726007,37.5785387
126.9726705,37.5785483
126.9711866,37.5774027
126.9711103,37.5773978
126.9708938,37.5777652
126.9709136,37.5778463
126.9726206,37.5784608
126.9727396,37.57848
126.9701683,37.5850723
126.9706574,37.5850686
126.9710594,37.5850778
126.9711686,37.5850847
126.9714231,37.5850838
126.9716178,37.5851012
126.9717469,37.5852099
126.9718309,37.5853131
126.9720914,37.5857032
126.9724368,37.5861828
126.9725826,37.5863066
126.9728581,37.5864151
126.9690192,37.5802681
126.9691085,37.5803373
126.9691617,37.5803906
126.9691985,37.5804032
126.9712649,37.5800867
126.9710118,37.5800479
126.9709749,37.5800423
126.9704766,37.5800442
126.9704976,37.5801627
126.9704855,37.5802923
126.9704723,37.5803599
126.9704624,37.5804575
126.9704534,37.5805756
126.9697379,37.576418
126.9696958,37.5764271
126.9696785,37.5763692
126.9726797,37.5759409
126.9725077,37.5763579
126.9724894,37.5765456
126.9723499,37.5770461
126.9723447,37.5770614
126.9723101,37.5771627
126.972272,37.5772644
126.9721653,37.5775497
126.9721589,37.5775637
126.9719751,37.5779617
126.9718568,37.5781039
126.9716489,37.5785779
126.9715705,37.5788135
126.9715099,37.5789871
126.9714504,37.5791992
126.9713735,37.5795017
126.9713546,37.5795776
126.9713353,37.5796732
126.9712649,37.5800867
126.9712103,37.5803615
126.9711001,37.5807886
126.9710766,37.5808587
126.9709803,37.5811589
126.9708818,37.5814837
126.9708089,37.5817449
126.9707546,37.5820195
126.9707367,37.5821112
126.9706726,37.5823924
126.9706168,37.5825323
126.970585,37.5826314
126.9705787,37.5826465
126.9705471,37.5827228
126.9704686,37.5828878
126.9704296,37.5831192
126.9704126,37.5833025
126.9703955,37.5834537
126.9703497,37.5838241
126.9702788,37.5842741
126.9701907,37.5847123
126.9701649,37.5849484
126.9701683,37.5850723
126.9701453,37.5854642
126.9701069,37.5856686
126.9700366,37.5859004
126.9699661,37.5861401
126.9699314,37.5862683
126.969754,37.5867903
126.9697496,37.5868023
126.9696061,37.5871973
126.969428,37.5876321
126.9692073,37.5880957
126.96895,37.5884233
126.9686249,37.5887265
126.9683667,37.5888968
126.9669546,37.5895127
126.9660244,37.5899905
126.9655569,37.590554
126.9655507,37.5905628
126.9653675,37.5908234
126.9649632,37.5913985
126.9647825,37.5916838
126.9647636,37.5917137
126.9644451,37.5922042
126.9644364,37.5922201
126.9640772,37.5928711
126.9639396,37.5931206
126.9638315,37.5933166
126.9636801,37.5942205
126.963664,37.594466
126.9636314,37.5949615
126.9636503,37.595109
126.9637263,37.5953828
126.9639338,37.5960177
126.9639457,37.5963885
126.9638441,37.5967102
126.9637806,37.5968139
126.963656,37.5969637
126.9634733,37.5971262
126.9633503,37.5972245
126.9626907,37.5977132
126.9622888,37.5979758
126.9619279,37.5982115
126.9610843,37.5987109
126.9606736,37.5989336
126.9603256,37.5990933
126.960283,37.5991122
126.9594738,37.5994091
126.9593397,37.5994394
126.9583379,37.5997322
126.9578231,37.5998989
126.9706775,37.5787716
126.9708349,37.5788296
126.9724894,37.5765456
126.9723124,37.5765557
126.9721571,37.5765289
126.9719527,37.5765197
126.9717195,37.5764938
126.9717007,37.5764919
126.9715676,37.576473
126.9713546,37.5764667
126.9712522,37.576458
126.9711278,37.5764526
126.9709568,37.5764489
126.9708641,37.5764499
126.9706871,37.5764716
126.9705733,37.576493
126.9705236,37.5765047
126.9704413,37.5765365
126.970115,37.5766686
126.9700544,37.5766918
126.9698928,37.5767677
126.9697332,37.5768525
126.9696611,37.5768902
126.9692927,37.5771052
126.9636503,37.595109
126.9640787,37.5947989
126.9642156,37.5947096
126.9643902,37.5945898
126.9645486,37.5944612
126.9647295,37.5943258
126.9648115,37.594303
126.9650662,37.5942728
126.9651571,37.5942174
126.9653168,37.5940326
126.9654015,37.5939559
126.9654671,37.5939045
126.9655088,37.5939212
126.9655768,37.5939598
126.9656509,37.5940077
126.9656671,37.594021
126.9657338,37.5940757
126.9658009,37.5941147
126.9680202,37.5863511
126.9680612,37.5861357
126.9680872,37.5860258
126.9716104,37.5767234
126.9717876,37.5767496
126.9708432,37.578268
126.9706146,37.578215
126.9704301,37.5781819
126.9702494,37.5781466
126.9700545,37.5781129
126.9700535,37.5779898
126.9709412,37.5853948
126.9710574,37.5854521
126.9711572,37.5855164
126.9712128,37.5855693
126.9713051,37.5856445
126.9713635,37.5856931
126.9714605,37.585752
126.971558,37.585792
126.9707224,37.577334
126.9707116,37.5774737
126.9705826,37.5774729
